Country,docvisits,acb,hstay,acdays,docvisitsr,acbr,hstayr,acdaysr,RATIO_CSR
Australia,7.7,.,5.6,4.2,1.070545829,.,0.770137525,0.657534247,1.0468
Austria,6.5,5.45,8.3,6.4,0.903707518,1.536571613,1.141453831,1.001956947,1.0208
Belgium,7,4.98,6.2,6.6,0.973223481,1.404059932,0.852652259,1.033268102,0.8945
Canada,6.8,1.95,8,7.4,0.945417096,0.549782504,1.100196464,1.15851272,0.9996
Chile,.,1.99,6,.,.,0.561060093,0.825147348,.,1.0454
Czech Republic,8,4.11,9.3,5.8,1.112255407,1.158772354,1.278978389,0.908023483,1.0289
Denmark,3.8,2.42,5.4,.,0.528321318,0.682294184,0.742632613,.,1.0086
Estonia,5.9,3.45,7.5,6.1,0.820288363,0.972692122,1.031434185,0.954990215,1.0289
Finland,4.4,2.8,7.8,6.4,0.611740474,0.789431287,1.072691552,1.001956947,1.0162
France,.,3.09,8.8,5.6,.,0.871193813,1.21021611,0.876712329,0.9095
Germany,9.9,6.02,8.9,7.5,1.376416066,1.697277268,1.223968566,1.174168297,1.0187
Greece,.,3.6,8,.,.,1.014983084,1.100196464,.,1.0035
Hungary,10.9,4.27,9.6,5.5,1.515447992,1.203882713,1.320235756,0.861056751,0.9441
Iceland,.,2.37,6.1,5.6,.,0.668197197,0.838899804,0.876712329,1.0549
Ireland,5,2.77,5.7,6,0.695159629,0.780973095,0.78388998,0.939334638,0.9989
Israel,.,2.19,6.8,5.1,.,0.617448043,0.935166994,0.798434442,1.0465
Italy,.,2.62,7.8,6.9,.,0.738682133,1.072691552,1.080234834,0.9165
Japan,12.6,7.79,.,16.2,1.751802266,2.196310617,.,2.536203523,1.0303
Korea,16.6,7.14,18.5,7.5,2.307929969,2.013049783,2.544204322,1.174168297,1.0365
Latvia,6.1,3.3,7.8,6,0.848094748,0.93040116,1.072691552,0.939334638,1.042
Lithuania,9.5,5.47,7.3,6.6,1.320803296,1.542210408,1.003929273,1.033268102,1.026
Luxembourg,5.7,3.7,8.9,7.4,0.792481977,1.043177058,1.223968566,1.15851272,1.0357
Mexico,2.8,1.38,3.7,.,0.389289392,0.389076849,0.508840864,.,0.9614
Netherlands,8.3,2.92,4.5,5,1.153964985,0.823264057,0.618860511,0.782778865,0.932
New Zealand,3.8,2.59,6.8,4.9,0.528321318,0.730223941,0.935166994,0.767123288,1.0471
Norway,4.5,3.2,5.4,6,0.625643666,0.902207185,0.742632613,0.939334638,1.0322
Poland,7.6,4.85,7,6.6,1.056642636,1.367407765,0.962671906,1.033268102,1.0084
Portugal,.,3.25,7.6,7.3,.,0.916304173,1.04518664,1.142857143,1.0186
Slovak Republic,10.9,4.91,7.3,6.8,1.515447992,1.38432415,1.003929273,1.064579256,1.044
Slovenia,6.6,4.2,6.9,6.6,0.917610711,1.184146931,0.94891945,1.033268102,0.9942
Spain,7.3,2.43,7.5,5.9,1.014933059,0.685113581,1.031434185,0.923679061,0.9521
Sweden,2.8,2.04,5.6,5.5,0.389289392,0.575157081,0.770137525,0.861056751,0.9321
Switzerland,4.3,3.56,8.2,5.5,0.597837281,1.003705494,1.127701375,0.861056751,0.9993
Turkey,8.9,2.78,4.1,4.1,1.23738414,0.783792492,0.563850688,0.641878669,1.033
United Kingdom,.,2.11,6.8,5.9,.,0.594892863,0.935166994,0.923679061,0.8932
United States,.,2.44,4.8,5.5,.,0.687932979,0.660117878,0.861056751,0.9996