Day,death_cnt,case_cnt,daily_death,daily_cases
2020-03-11,0.0,216.0,,
2020-03-12,0.0,216.0,0.0,0.0
2020-03-13,0.0,421.0,0.0,205.0
2020-03-14,0.0,524.0,0.0,103.0
2020-03-15,0.0,729.0,0.0,205.0
2020-03-16,0.0,950.0,0.0,221.0
2020-03-17,0.0,1700.0,0.0,750.0
2020-03-18,0.0,2382.0,0.0,682.0
2020-03-19,12.0,4152.0,12.0,1770.0
2020-03-20,35.0,7102.0,23.0,2950.0
2020-03-21,44.0,10356.0,9.0,3254.0
2020-03-22,114.0,15168.0,70.0,4812.0
2020-03-23,114.0,20875.0,0.0,5707.0
2020-03-24,210.0,25665.0,96.0,4790.0
2020-03-25,285.0,30811.0,75.0,5146.0
2020-03-26,385.0,37258.0,100.0,6447.0
2020-03-27,519.0,44635.0,134.0,7377.0
2020-03-28,728.0,52318.0,209.0,7683.0
2020-03-29,965.0,59513.0,237.0,7195.0
2020-03-30,1218.0,66497.0,253.0,6984.0
2020-03-31,1550.0,75795.0,332.0,9298.0
2020-04-01,1941.0,83712.0,391.0,7917.0
2020-04-02,2373.0,92381.0,432.0,8669.0
2020-04-03,2935.0,102863.0,562.0,10482.0
2020-04-04,3565.0,113704.0,630.0,10841.0
2020-04-05,4159.0,122031.0,594.0,8327.0
2020-04-06,4758.0,130689.0,599.0,8658.0
2020-04-07,5489.0,138863.0,731.0,8174.0
2020-04-08,6268.0,149316.0,779.0,10453.0
2020-04-09,7067.0,159937.0,799.0,10621.0
2020-04-10,7844.0,170512.0,777.0,10575.0
2020-04-11,8627.0,180458.0,783.0,9946.0
2020-04-12,9385.0,188694.0,758.0,8236.0
2020-04-13,10056.0,195031.0,671.0,6337.0
2020-04-14,10834.0,202208.0,778.0,7177.0
2020-04-15,11586.0,213779.0,752.0,11571.0
2020-04-16,12192.0,222284.0,606.0,8505.0
2020-04-17,12822.0,229642.0,630.0,7358.0
2020-04-18,13362.0,236732.0,540.0,7090.0
2020-04-19,13869.0,242786.0,507.0,6054.0
2020-04-20,14347.0,247512.0,478.0,4726.0
2020-04-21,14828.0,251690.0,481.0,4178.0
2020-04-22,15302.0,257216.0,474.0,5526.0
2020-04-23,15740.0,263460.0,438.0,6244.0
2020-04-24,16162.0,271590.0,422.0,8130.0
2020-04-25,16599.0,282143.0,437.0,10553.0
2020-04-26,16966.0,288045.0,367.0,5902.0
2020-04-27,17303.0,291996.0,337.0,3951.0
2020-04-28,17638.0,295106.0,335.0,3110.0
2020-04-29,18015.0,299691.0,377.0,4585.0
2020-04-30,18321.0,304372.0,306.0,4681.0
2020-05-01,18610.0,308314.0,289.0,3942.0
2020-05-02,18909.0,312977.0,299.0,4663.0
2020-05-03,19189.0,316415.0,280.0,3438.0
2020-05-04,19415.0,318953.0,226.0,2538.0
2020-05-05,19645.0,321192.0,230.0,2239.0
2020-05-06,19877.0,323978.0,232.0,2786.0
2020-05-07,20828.0,327649.0,951.0,3671.0
2020-05-08,21045.0,330407.0,217.0,2758.0
2020-05-09,21271.0,333122.0,226.0,2715.0
2020-05-10,21478.0,335395.0,207.0,2273.0
2020-05-11,21640.0,337055.0,162.0,1660.0
2020-05-12,21845.0,338485.0,205.0,1430.0
2020-05-13,22013.0,340661.0,168.0,2176.0
2020-05-14,22170.0,343051.0,157.0,2390.0
2020-05-15,22304.0,345813.0,134.0,2762.0
2020-05-16,20756.58585858586,315055.0303030303,,
2020-05-17,21017.161616161615,318641.42424242425,260.57575757575614,3586.39393939398
2020-05-18,21269.363636363636,322111.8787878788,252.20202020202123,3470.4545454545296
2020-05-19,21513.343434343435,325469.1313131313,243.9797979797986,3357.252525252523
2020-05-20,21749.18181818182,328715.70707070705,235.8383838383852,3246.5757575757452
2020-05-21,21976.969696969696,331854.2525252525,227.78787878787625,3138.5454545454704
2020-05-22,22196.9797979798,334887.61616161617,220.01010101010252,3033.363636363647
2020-05-23,22409.59595959596,337818.4646464646,212.61616161616257,2930.8484848484513
2020-05-24,22615.0,340649.57575757575,205.40404040403882,2831.111111111124
2020-05-25,22813.484848484848,343383.7373737374,198.48484848484804,2734.1616161616403
2020-05-26,23004.969696969696,346023.595959596,191.48484848484804,2639.858585858601
2020-05-27,23189.58585858586,348571.8080808081,184.61616161616257,2548.2121212120983
2020-05-28,23367.717171717173,351030.9797979798,178.13131313131453,2459.171717171732
2020-05-29,23539.424242424244,353403.77777777775,171.70707070707067,2372.797979797935
2020-05-30,23705.10101010101,355692.8888888889,165.67676767676676,2289.111111111124
2020-05-31,23864.878787878788,357900.7272727273,159.77777777777737,2207.838383838418
2020-06-01,24018.929292929293,360029.76767676766,154.0505050505053,2129.0404040403664
2020-06-02,24167.333333333332,362082.6666666667,148.40404040403882,2052.8989898990258
2020-06-03,24310.333333333332,364061.75757575757,143.0,1979.0909090908826
2020-06-04,24448.08080808081,365969.2727272727,137.7474747474771,1907.5151515151374
2020-06-05,24580.78787878788,367807.595959596,132.70707070707067,1838.3232323232805
2020-06-06,24708.646464646463,369578.9393939394,127.85858585858296,1771.3434343434055
2020-06-07,24831.80808080808,371285.76767676766,123.16161616161844,1706.8282828282681
2020-06-08,24950.39393939394,372929.82828282827,118.58585858585866,1644.0606060606078
2020-06-09,25064.60606060606,374513.48484848486,114.21212121212011,1583.6565656565945
2020-06-10,25174.454545454544,376038.69696969696,109.84848484848408,1525.2121212120983
2020-06-11,25280.21212121212,377507.43434343435,105.75757575757598,1468.7373737373855
2020-06-12,25382.11111111111,378921.7373737374,101.89898989898938,1414.3030303030391
2020-06-13,25480.20202020202,380283.38383838383,98.09090909091174,1361.6464646464447
2020-06-14,25574.666666666668,381594.2121212121,94.46464646464665,1310.8282828282681
2020-06-15,25665.434343434343,382856.0303030303,90.76767676767486,1261.8181818181765
2020-06-16,25752.79797979798,384070.54545454547,87.36363636363603,1214.5151515151956
2020-06-17,25836.777777777777,385239.38383838383,83.9797979797986,1168.8383838383597
2020-06-18,25917.515151515152,386364.23232323234,80.73737373737458,1124.8484848485095
2020-06-19,25995.333333333332,387446.6666666667,77.81818181818016,1082.4343434343464
2020-06-20,26070.272727272728,388488.2626262626,74.93939393939581,1041.5959595959284
2020-06-21,26142.303030303032,389490.3232323232,72.03030303030391,1002.0606060606078
2020-06-22,26211.575757575756,390454.3939393939,69.2727272727243,964.0707070706994
2020-06-23,26278.131313131315,391381.83838383836,66.55555555555839,927.444444444438
2020-06-24,26342.131313131315,392274.0101010101,64.0,892.1717171717319
2020-06-25,26403.696969696968,393132.1414141414,61.565656565653626,858.1313131313073
2020-06-26,26462.9797979798,393957.57575757575,59.28282828283045,825.4343434343464
2020-06-27,26519.959595959597,394751.45454545453,56.979797979798605,793.8787878787844
2020-06-28,26574.777777777777,395514.9494949495,54.818181818180165,763.4949494949542
