Afghanistan, ['Afghanistan']
Albania, ['Albania']
Algeria, ['Algeria']
Andorra, ['Andorra']
Angola, ['Angola']
Antigua and Barbuda, ['Antigua and Barbuda']
Argentina, ['Argentina']
Armenia, ['Armenia']
Australia, ['Australia']
Austria, ['Austria']
Azerbaijan, ['Azerbaijan']
Bahamas, ['Bahamas']
Bahrain, ['Bahrain']
Bangladesh, ['Bangladesh']
Barbados, ['Barbados']
Belarus, ['Belarus']
Belgium, ['Belgium']
Belize, ['Belize']
Benin, ['Benin']
Bhutan, ['Bhutan']
Bolivia, ['Bolivia']
Bosnia and Herzegovina, ['Bosnia and Herzegovina']
Botswana, ['Botswana']
Brazil, ['Brazil']
British Virgin Islands, ['British Virgin Islands']
Brunei Darussalam, ['Brunei Darussalam']
Bulgaria, ['Bulgaria']
Burkina Faso, ['Burkina Faso']
Burundi, ['Burundi']
Cambodia, ['Cambodia']
Cameroon, ['Cameroon']
Canada, ['Canada']
Cape Verde, ['Cape Verde']
Cayman Islands, ['Cayman Islands']
Central African Republic, ['Central African Republic']
Chad, ['Chad']
Chile, ['Chile']
China, ['China']
Colombia, ['Colombia']
Comoros, ['Comoros']
Costa Rica, ['Costa Rica']
Croatia, ['Croatia']
Cuba, ['Cuba']
Cyprus, ['Cyprus']
Czech Republic, ['Czech Republic']
Denmark, ['Denmark']
Djibouti, ['Djibouti']
Dominica, ['Dominica']
Dominican Republic, ['Dominican Republic']
Ecuador, ['Ecuador']
Egypt, ['Egypt']
El Salvador, ['El Salvador']
Equatorial Guinea, ['Equatorial Guinea']
Eritrea, ['Eritrea']
Estonia, ['Estonia']
Ethiopia, ['Ethiopia']
Falkland Islands (Malvinas), ['Falkland Islands (Malvinas)']
Fiji, ['Fiji']
Finland, ['Finland']
France, ['France']
French Guiana, ['French Guiana']
French Polynesia, ['French Polynesia']
Gabon, ['Gabon']
Gambia, ['Gambia']
Georgia, ['Georgia']
Germany, ['Germany']
Ghana, ['Ghana']
Greece, ['Greece']
Grenada, ['Grenada']
Guam, ['Guam']
Guatemala, ['Guatemala']
Guinea, ['Guinea']
Guinea-Bissau, ['Guinea-Bissau']
Guyana, ['Guyana']
Haiti, ['Haiti']
Honduras, ['Honduras']
Hungary, ['Hungary']
Iceland, ['Iceland']
India, ['India']
Indonesia, ['Indonesia']
Iran, Islamic Republic of, ['Iran, Islamic Republic of']
Iraq, ['Iraq']
Ireland, ['Ireland']
Isle of Man, ['Isle of Man']
Israel, ['Israel']
Italy, ['Italy']
Jamaica, ['Jamaica']
Japan, ['Japan']
Jordan, ['Jordan']
Kazakhstan, ['Kazakhstan']
Kenya, ['Kenya']
Kuwait, ['Kuwait']
Kyrgyzstan, ['Kyrgyzstan']
Lao PDR, ['Lao PDR']
Latvia, ['Latvia']
Lebanon, ['Lebanon']
Liberia, ['Liberia']
Libya, ['Libya']
Liechtenstein, ['Liechtenstein']
Lithuania, ['Lithuania']
Luxembourg, ['Luxembourg']
Macedonia, Republic of, ['Macedonia, Republic of']
Madagascar, ['Madagascar']
Malawi, ['Malawi']
Malaysia, ['Malaysia']
Maldives, ['Maldives']
Mali, ['Mali']
Malta, ['Malta']
Mauritania, ['Mauritania']
Mauritius, ['Mauritius']
Mexico, ['Mexico']
Micronesia, Federated States of, ['Micronesia, Federated States of']
Moldova, ['Moldova']
Monaco, ['Monaco']
Mongolia, ['Mongolia']
Montenegro, ['Montenegro']
Morocco, ['Morocco']
Mozambique, ['Mozambique']
Myanmar, ['Myanmar']
Namibia, ['Namibia']
Nepal, ['Nepal']
Netherlands, ['Netherlands']
New Zealand, ['New Zealand']
Nicaragua, ['Nicaragua']
Niger, ['Niger']
Nigeria, ['Nigeria']
Norway, ['Norway']
Oman, ['Oman']
Pakistan, ['Pakistan']
Palestinian Territory, ['Palestinian Territory']
Panama, ['Panama']
Papua New Guinea, ['Papua New Guinea']
Paraguay, ['Paraguay']
Peru, ['Peru']
Philippines, ['Philippines']
Poland, ['Poland']
Portugal, ['Portugal']
Puerto Rico, ['Puerto Rico']
Qatar, ['Qatar']
Republic of Kosovo, ['Republic of Kosovo']
Romania, ['Romania']
Russian Federation, ['Russian Federation']
Rwanda, ['Rwanda']
Réunion, ['Réunion']
Saint Kitts and Nevis, ['Saint Kitts and Nevis']
Saint Lucia, ['Saint Lucia']
Saint Vincent and Grenadines, ['Saint Vincent and Grenadines']
Saint-Martin (French part), ['Saint-Martin (French part)']
Samoa, ['Samoa']
San Marino, ['San Marino']
Sao Tome and Principe, ['Sao Tome and Principe']
Saudi Arabia, ['Saudi Arabia']
Senegal, ['Senegal']
Serbia, ['Serbia']
Seychelles, ['Seychelles']
Sierra Leone, ['Sierra Leone']
Singapore, ['Singapore']
Slovakia, ['Slovakia']
Slovenia, ['Slovenia']
Somalia, ['Somalia']
South Africa, ['South Africa']
South Sudan, ['South Sudan']
Spain, ['Spain']
Sri Lanka, ['Sri Lanka']
Sudan, ['Sudan']
Suriname, ['Suriname']
Swaziland, ['Swaziland']
Sweden, ['Sweden']
Switzerland, ['Switzerland']
Taiwan, Republic of China, ['Taiwan, Republic of China']
Tajikistan, ['Tajikistan']
Tanzania, United Republic of, ['Tanzania, United Republic of']
Thailand, ['Thailand']
Timor-Leste, ['Timor-Leste']
Togo, ['Togo']
Trinidad and Tobago, ['Trinidad and Tobago']
Tunisia, ['Tunisia']
Turkey, ['Turkey']
Uganda, ['Uganda']
Ukraine, ['Ukraine']
United Arab Emirates, ['United Arab Emirates']
United Kingdom, ['United Kingdom']
United States of America, ['United States of America', 'Alabama', 'Alaska', 'American Samoa', 'Arizona', 'Arkansas', 'California', 'Colorado', 'Connecticut', 'Delaware', 'District of Columbia', 'Florida', 'Georgia', 'Guam', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Mississippi', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'New Jersey', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Northern Mariana Islands', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'Puerto Rico', 'Rhode Island', 'South Carolina', 'South Dakota', 'Tennessee', 'Texas', 'Utah', 'Vermont', 'Virgin Islands', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']
Uruguay, ['Uruguay']
Uzbekistan, ['Uzbekistan']
Vanuatu, ['Vanuatu']
Viet Nam, ['Viet Nam']
Western Sahara, ['Western Sahara']
Yemen, ['Yemen']
Zambia, ['Zambia']
Zimbabwe, ['Zimbabwe']
