Country ,state_abbreviation,Region,Lat,Lon,population
United States of America,USA,United States of America,37.09024,-95.712891,331000000
United States of America,AK,"Alaska, USA",66.160507,-153.369141,700000
United States of America,AL,"Alabama, USA",32.31823,-86.902298,5000000
United States of America,AR,"Arkansas, the US",34.799999,-92.199997,3000000
United States of America,AS,American Samoa,-14.23361,-169.51444,55000
United States of America,AZ,"Arizona, USA",34.048927,-111.093735,7000000
United States of America,CA,"California, the USA",36.778259,-119.417931,40000000
United States of America,CO,"Colorado, USA",39.113014,-105.358887,6000000
United States of America,CT,"Connecticut, the US",41.599998,-72.699997,4000000
United States of America,DC,Washington DC,38.89511,-77.03637,700000
United States of America,DE,"Delaware, the US",39,-75.5,1000000
United States of America,FL,"Florida, USA",27.994402,-81.760254,21000000
United States of America,GA,"Georgia, the USA",33.247875,-83.441162,11000000
United States of America,GU,guam,13.47191,144.74978,165000
United States of America,HI,"Hawaii, USA",19.741755,-155.844437,1400000
United States of America,IA,"Iowa, the USA",42.032974,-93.581543,3000000
United States of America,ID,"Idaho, USA",44.068203,-114.742043,2000000
United States of America,IL,"Illinois, the US",40,-89,13000000
United States of America,IN,"Indiana, USA",40.273502,-86.126976,7000000
United States of America,KS,"Kansas, the US",38.5,-98,3000000
United States of America,KY,"Kentucky, USA",37.839333,-84.27002,4000000
United States of America,LA,"Louisiana, USA",30.39183,-92.329102,5000000
United States of America,MA,"Massachusetts, USA",42.407211,-71.382439,7000000
United States of America,MD,"Maryland, USA",39.045753,-76.641273,6000000
United States of America,ME,"Maine, the USA",45.367584,-68.972168,1300000
United States of America,MI,"Michigan, USA",44.182205,-84.506836,10000000
United States of America,MN,"Minnesota, USA",46.39241,-94.63623,6000000
United States of America,MO,"Missouri State, USA",38.573936,-92.60376,6000000
United States of America,MP,Northern Mariana Islands,15.21233,145.7545,55000
United States of America,MS,"Mississippi, the US",33,-90,3000000
United States of America,MT,"Montana, USA",46.96526,-109.533691,1000000
United States of America,NC,"North Carolina, USA",35.782169,-80.793457,10500000
United States of America,ND,"North Dakota, USA",47.650589,-100.437012,800000
United States of America,NE,"Nebraska, the US",41.5,-100,2000000
United States of America,NH,"New Hampshire, the US",44,-71.5,1400000
United States of America,NJ,"New Jersey, USA",39.833851,-74.871826,9000000
United States of America,NM,"New Mexico, USA",34.307144,-106.018066,2000000
United States of America,NV,"Nevada, USA",39.876019,-117.224121,3000000
United States of America,NY,"New York, the US",43,-75,19500000
United States of America,OH,"Ohio, USA",40.367474,-82.996216,12000000
United States of America,OK,"Oklahoma, USA",36.084621,-96.921387,4000000
United States of America,OR,"Oregon, the US",44,-120.5,4000000
United States of America,PA,"Pennsylvania, USA",41.203323,-77.194527,13000000
United States of America,PR,Puerto Rico,18.46633,-66.10572,3000000
United States of America,RI,"Rhode Island, the US",41.700001,-71.5,1000000
United States of America,SC,"South Carolina, USA",33.836082,-81.163727,5000000
United States of America,SD,"South Dakota, the US",44.5,-100,1000000
United States of America,TN,"Tennessee, USA",35.860119,-86.660156,7000000
United States of America,TX,"Texas, the USA",31,-100,29000000
United States of America,UT,"Utah, USA",39.41922,-111.950684,3000000
United States of America,VA,"Virginia, USA",37.926868,-78.024902,9000000
United States of America,VI,US virgin island ,18.3419,-64.9307,100000
United States of America,VT,"Vermont, the USA",44,-72.699997,600000
United States of America,WA,"Washington State, the USA",47.751076,-120.740135,8000000
United States of America,WI,"Wisconsin, the USA",44.5,-89.5,6000000
United States of America,WV,"West Virginia, the US",39,-80.5,1800000
United States of America,WY,"Wyoming, USA",43.07597,-107.290283,600000